,date,price_agg,price_spy,price_mergaai
0,2004-01-05,101.69,112.44,25.98
1,2004-01-06,102.15,112.55,26.07
2,2004-01-07,102.38,112.93,25.97
3,2004-01-08,102.35,113.38,26.05
4,2004-01-09,103.2,112.39,26.13
5,2004-01-12,102.91,113.22,26.16
6,2004-01-13,103.15,112.56,26.2
7,2004-01-14,103.14,113.5,26.16
8,2004-01-15,103.27,113.78,26.1
9,2004-01-16,103.19,114.23,26.13
10,2004-01-20,103.1,114.2,26.29
11,2004-01-21,103.17,115.1,26.34
12,2004-01-22,103.35,114.8,26.5
13,2004-01-23,103.1,114.43,26.49
14,2004-01-26,102.7,115.87,26.37
15,2004-01-27,102.85,114.68,26.43
16,2004-01-28,102.64,113.37,26.44
17,2004-01-29,102.4,113.48,26.16
18,2004-01-30,102.6,113.48,26.06
19,2004-02-02,102.35,113.97,26.12
20,2004-02-03,102.63,113.78,26.15
21,2004-02-04,102.64,112.85,26.07
22,2004-02-05,102.35,113.18,26.1
23,2004-02-06,102.77,114.45,26.06
24,2004-02-09,102.84,114.48,26.34
25,2004-02-10,102.62,114.85,26.39
26,2004-02-11,103.02,116.07,26.4
27,2004-02-12,103.03,115.65,26.6
28,2004-02-13,103.49,115.13,26.62
29,2004-02-17,103.24,116.17,26.66
30,2004-02-18,103.16,115.66,26.67
31,2004-02-19,103.27,115.23,26.56
32,2004-02-20,102.95,114.88,26.39
33,2004-02-23,103.23,114.59,26.32
34,2004-02-24,103.14,114.39,26.22
35,2004-02-25,103.38,114.87,26.27
36,2004-02-26,103.21,114.94,26.16
37,2004-02-27,103.49,115.02,26.36
38,2004-03-01,103.29,116.16,26.56
39,2004-03-02,102.93,115.48,26.61
40,2004-03-03,102.82,115.69,26.36
41,2004-03-04,103.07,115.99,26.44
42,2004-03-05,103.83,116.38,26.47
43,2004-03-08,104.18,114.96,26.58
44,2004-03-09,104.33,114.5,26.47
45,2004-03-10,104.21,112.58,26.28
46,2004-03-11,104.44,111.12,26.0
47,2004-03-12,104.12,112.58,25.9
48,2004-03-15,104.14,111.2,25.97
49,2004-03-16,104.39,111.79,25.95
50,2004-03-17,104.34,113.04,26.07
51,2004-03-18,104.24,113.07,26.17
52,2004-03-19,104.13,111.06,26.16
53,2004-03-22,104.4,109.65,25.94
54,2004-03-23,104.41,109.46,25.95
55,2004-03-24,104.47,109.55,25.91
56,2004-03-25,104.41,111.0,25.86
57,2004-03-26,104.05,111.03,26.12
58,2004-03-29,103.86,112.59,26.19
59,2004-03-30,103.45,112.97,26.26
60,2004-03-31,103.95,113.1,26.4
61,2004-04-01,103.74,113.78,26.53
62,2004-04-02,102.79,114.64,26.7
63,2004-04-05,102.16,115.27,26.64
64,2004-04-06,102.45,114.9,26.63
65,2004-04-07,102.2,114.63,26.58
66,2004-04-08,102.26,114.37,26.68
67,2004-04-13,102.05,113.21,26.6
68,2004-04-14,101.75,113.39,26.31
69,2004-04-15,101.6,112.96,26.22
70,2004-04-16,101.88,113.83,26.23
71,2004-04-19,101.75,113.83,26.3
72,2004-04-20,101.42,111.92,26.37
73,2004-04-21,101.18,112.67,26.08
74,2004-04-22,101.55,114.25,26.14
75,2004-04-23,101.35,114.36,26.32
76,2004-04-26,101.32,114.2,26.34
77,2004-04-27,101.57,114.3,26.27
78,2004-04-28,101.1,112.82,26.19
79,2004-04-29,100.81,111.83,25.94
80,2004-04-30,100.78,110.96,25.88
81,2004-05-03,100.36,112.15,25.84
82,2004-05-04,100.54,112.06,25.96
83,2004-05-05,100.41,112.78,26.08
84,2004-05-06,100.1,111.81,25.95
85,2004-05-07,99.25,109.96,25.79
86,2004-05-10,99.1,108.83,25.19
87,2004-05-11,99.35,109.75,25.24
88,2004-05-12,99.21,110.45,25.33
89,2004-05-13,99.19,109.99,25.23
90,2004-05-14,99.21,110.04,25.13
91,2004-05-17,99.71,109.1,24.95
92,2004-05-18,99.76,109.65,25.04
93,2004-05-19,99.59,109.27,25.36
94,2004-05-21,99.7,109.81,25.38
95,2004-05-24,99.78,110.27,25.46
96,2004-05-25,99.75,111.85,25.38
97,2004-05-26,100.0,112.24,25.66
98,2004-05-27,100.48,112.87,25.78
99,2004-05-28,100.13,112.86,25.82
100,2004-06-01,99.7,112.71,25.87
101,2004-06-02,99.74,113.13,25.89
102,2004-06-03,99.7,112.09,25.76
103,2004-06-04,99.49,112.98,25.78
104,2004-06-07,99.59,114.7,26.04
105,2004-06-08,99.35,114.86,26.14
106,2004-06-09,99.38,113.79,26.07
107,2004-06-10,99.28,114.35,26.02
108,2004-06-14,99.0,113.22,25.82
109,2004-06-15,99.84,114.02,25.84
110,2004-06-16,99.64,114.0,25.97
111,2004-06-17,99.75,113.83,26.03
112,2004-06-18,99.9,113.63,25.99
113,2004-06-21,100.03,113.2,26.11
114,2004-06-22,99.99,113.77,26.02
115,2004-06-24,100.29,114.39,26.22
116,2004-06-25,100.26,113.84,26.27
117,2004-06-28,99.93,113.45,26.31
118,2004-06-29,99.75,113.92,26.25
119,2004-06-30,100.54,114.53,26.27
120,2004-07-01,100.35,112.94,26.34
121,2004-07-02,100.99,112.88,26.15
122,2004-07-06,100.92,111.89,26.14
123,2004-07-07,100.86,112.22,26.17
124,2004-07-08,100.97,111.42,26.09
125,2004-07-09,100.67,111.73,26.14
126,2004-07-12,100.9685,111.78,26.2
127,2004-07-13,100.86,111.86,26.22
128,2004-07-14,100.92,111.52,26.12
129,2004-07-15,100.73,110.8,26.15
130,2004-07-16,101.4,110.71,26.18
131,2004-07-19,101.25,110.24,26.21
132,2004-07-20,100.98,111.64,26.15
133,2004-07-21,100.74,109.58,26.24
134,2004-07-22,100.96,109.88,25.96
135,2004-07-23,101.19,108.96,25.84
136,2004-07-26,100.72,108.75,25.83
137,2004-07-27,100.49,109.77,25.76
138,2004-07-28,100.64,110.1,25.76
139,2004-07-29,100.41,110.57,25.82
140,2004-07-30,101.15,110.84,25.89
141,2004-08-02,100.8,111.07,25.91
142,2004-08-03,100.94,110.21,25.9
143,2004-08-04,101.16,110.2,25.78
144,2004-08-05,101.23,108.4,25.85
145,2004-08-06,101.88,106.85,25.56
146,2004-08-09,101.95,107.0,25.58
147,2004-08-10,101.68,108.38,25.63
148,2004-08-11,101.75,108.16,25.58
149,2004-08-12,101.96,106.98,25.62
150,2004-08-13,102.16,107.19,25.46
151,2004-08-16,102.04,108.3,25.55
152,2004-08-17,102.34,108.91,25.72
153,2004-08-18,102.01,110.03,25.68
154,2004-08-19,102.35,109.71,25.9
155,2004-08-20,102.05,110.48,25.88
156,2004-08-23,102.08,110.2,25.9
157,2004-08-24,102.09,110.35,25.85
158,2004-08-25,102.1,111.1,25.83
159,2004-08-26,102.29,111.1,25.92
160,2004-08-27,102.36,111.45,26.02
161,2004-08-30,102.46,110.53,25.96
162,2004-08-31,102.46,111.11,25.96
163,2004-09-01,102.51,111.32,26.06
164,2004-09-02,102.1,112.58,26.1
165,2004-09-03,102.05,112.12,26.16
166,2004-09-07,102.04,112.86,26.21
167,2004-09-08,102.35,112.58,26.21
168,2004-09-09,102.25,112.48,26.23
169,2004-09-10,102.47,113.06,26.24
170,2004-09-13,102.57,113.43,26.39
171,2004-09-14,102.68,113.66,26.39
172,2004-09-15,102.62,112.8,26.35
173,2004-09-16,102.93,113.14,26.29
174,2004-09-17,102.5,113.15,26.37
175,2004-09-20,102.94,112.47,26.3
176,2004-09-21,102.91,112.96,26.38
177,2004-09-22,103.25,111.55,26.36
178,2004-09-23,102.94,110.95,26.31
179,2004-09-24,102.97,111.46,26.29
180,2004-09-27,102.94,110.75,26.23
181,2004-09-28,103.11,111.28,26.23
182,2004-09-29,102.52,111.84,26.31
183,2004-09-30,102.67,111.76,26.35
184,2004-10-01,102.17,113.65,26.56
185,2004-10-04,102.2,113.84,26.8
186,2004-10-05,102.19,113.9,26.77
187,2004-10-06,102.0,114.62,26.78
188,2004-10-07,102.0,113.45,26.83
189,2004-10-08,102.5,112.51,26.81
190,2004-10-11,102.6,112.97,26.79
191,2004-10-12,102.5,112.53,26.58
192,2004-10-13,102.65,111.54,26.61
193,2004-10-14,103.14,110.64,26.49
194,2004-10-15,102.95,111.26,26.38
195,2004-10-18,102.86,111.68,26.47
196,2004-10-19,102.91,110.74,26.57
197,2004-10-20,103.27,110.52,26.42
198,2004-10-21,103.01,111.24,26.49
199,2004-10-22,103.26,109.99,26.55
200,2004-10-25,103.38,109.86,26.46
201,2004-10-26,103.08,111.54,26.51
202,2004-10-27,102.85,112.88,26.63
203,2004-10-28,102.97,113.22,26.71
204,2004-10-29,103.24,113.2,26.83
205,2004-11-02,102.65,113.55,26.92
206,2004-11-03,102.87,114.98,27.04
207,2004-11-04,102.78,116.55,27.13
208,2004-11-05,102.52,117.28,27.34
209,2004-11-08,102.15,117.11,27.35
210,2004-11-09,102.39,116.88,27.34
211,2004-11-10,102.27,116.97,27.37
212,2004-11-11,102.37,117.86,27.35
213,2004-11-12,102.49,118.79,27.5
214,2004-11-15,102.54,118.73,27.65
215,2004-11-16,102.44,117.88,27.64
216,2004-11-17,102.7,118.58,27.76
217,2004-11-18,102.74,118.74,27.8
218,2004-11-19,102.53,117.42,27.79
219,2004-11-22,102.69,117.98,27.7
220,2004-11-23,102.63,118.16,27.81
221,2004-11-24,102.73,118.44,27.88
222,2004-11-26,102.4315,118.35,28.03
223,2004-11-29,102.15,117.81,28.12
224,2004-11-30,102.2,117.89,28.09
225,2004-12-01,101.51,119.23,28.13
226,2004-12-02,101.7,119.33,28.28
227,2004-12-03,102.29,119.25,28.22
228,2004-12-06,102.4,119.21,28.23
229,2004-12-07,102.54,118.1,28.24
230,2004-12-08,102.89,118.79,27.96
231,2004-12-09,102.75,119.21,27.88
232,2004-12-10,102.62,119.33,27.84
233,2004-12-13,102.77,120.37,27.97
234,2004-12-14,102.87,120.79,28.13
235,2004-12-15,103.1,120.88,28.22
236,2004-12-16,102.7,120.24,28.3
237,2004-12-17,102.45,119.44,28.19
238,2004-12-20,102.55,119.47,28.23
239,2004-12-21,102.55,120.39,28.29
240,2004-12-22,102.77,120.68,28.36
241,2004-12-23,102.82,120.77,28.46
242,2004-12-27,102.43,120.52,28.57
243,2004-12-28,102.38,121.18,28.63
244,2004-12-29,102.36,121.36,28.62
245,2004-12-30,102.57,121.13,28.64
246,2004-12-31,102.4,120.87,28.74
247,2005-01-03,102.4,120.3,28.69
248,2005-01-04,102.3,118.83,28.55
249,2005-01-05,102.26,118.01,28.28
250,2005-01-06,102.33,118.61,28.2
251,2005-01-07,102.3,118.44,28.27
252,2005-01-10,102.25,119.0,28.22
253,2005-01-11,102.39,118.18,28.23
254,2005-01-12,102.54,118.57,28.16
255,2005-01-13,102.79,117.62,28.28
256,2005-01-14,102.42,118.24,28.2
257,2005-01-18,102.69,119.47,28.21
258,2005-01-19,102.84,118.22,28.34
259,2005-01-20,102.98,117.5,28.05
260,2005-01-21,103.03,116.78,28.09
261,2005-01-24,103.05,116.55,28.15
262,2005-01-25,102.87,116.88,28.14
263,2005-01-26,102.82,117.23,28.15
264,2005-01-27,102.68,117.43,28.19
265,2005-01-28,103.03,117.43,28.2
266,2005-01-31,102.9,118.16,28.27
267,2005-02-01,102.7,118.91,28.33
268,2005-02-02,102.78,119.27,28.42
269,2005-02-03,102.68,119.11,28.43
270,2005-02-04,103.08,120.23,28.44
271,2005-02-07,103.1,120.07,28.52
272,2005-02-08,103.16,120.21,28.41
273,2005-02-09,103.44,119.31,28.44
274,2005-02-10,102.91,119.74,28.4
275,2005-02-11,103.05,120.77,28.48
276,2005-02-14,103.07,120.68,28.71
277,2005-02-15,102.87,121.13,28.75
278,2005-02-16,102.75,121.21,28.75
279,2005-02-17,102.7,120.23,28.82
280,2005-02-18,102.73,120.39,28.79
281,2005-02-22,102.44,118.6,28.9
282,2005-02-23,102.49,119.45,28.8
283,2005-02-24,102.39,120.24,28.86
284,2005-02-25,102.48,121.43,28.93
